state_fips,state,abbr,total_residential_units,charter_res_st_pct,comcast_res_st_pct,charter_est_units,comcast_est_units,charter_present,comcast_present,leader,margin_units_charter_minus_comcast,margin_pp_charter_minus_comcast,origin_pct,origin_units,origin_est_units,notes
36,New York,NY,9267668,0.602200,0.004800,5580990,44485,True,True,Charter,5536505,59.74,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
39,Ohio,OH,5833546,0.773500,0.016700,4512248,97420,True,True,Charter,4414828,75.68,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
37,North Carolina,NC,5526391,0.789900,0.000400,4365296,2211,True,True,Charter,4363085,78.95,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
48,Texas,TX,13947589,0.488200,0.218400,6809213,3046153,True,True,Charter,3763060,26.98,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
55,Wisconsin,WI,3151537,0.745300,0.012400,2348841,39079,True,True,Charter,2309762,73.29,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
06,California,CA,16283265,0.469900,0.337300,7651506,5492345,True,True,Charter,2159161,13.26,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
29,Missouri,MO,3140991,0.498700,0.053200,1566412,167101,True,True,Charter,1399311,44.55,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
21,Kentucky,KY,2278158,0.598600,0.047900,1363705,109124,True,True,Charter,1254581,55.07,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
45,South Carolina,SC,2774232,0.598600,0.147800,1660655,410031,True,True,Charter,1250624,45.08,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
01,Alabama,AL,2683418,0.420100,0.196900,1127304,528365,True,True,Charter,598939,22.32,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
15,Hawaii,HI,603504,0.922800,,556913,,True,False,Charter,556913,92.28,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
23,Maine,ME,816527,0.735800,0.088700,600801,72426,True,True,Charter,528375,64.71,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
30,Montana,MT,616912,0.544300,,335785,,True,False,Charter,335785,54.43,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
31,Nebraska,NE,998839,0.313100,,312736,,True,False,Charter,312736,31.31,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
32,Nevada,NV,1454275,0.211500,,307579,,True,False,Charter,307579,21.15,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
20,Kansas,KS,1487297,0.199400,0.045200,296567,67226,True,True,Charter,229341,15.42,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
56,Wyoming,WY,311347,0.517200,,161029,,True,False,Charter,161029,51.72,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
16,Idaho,ID,918136,0.090400,0.002600,82999,2387,True,True,Charter,80612,8.78,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
22,Louisiana,LA,2357476,0.134900,0.112900,318024,266159,True,True,Charter,51865,2.2,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
02,Alaska,AK,383830,,,,,False,False,neither present,0,0.0,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
19,Iowa,IA,1661913,,,,,False,False,neither present,0,0.0,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
38,North Dakota,ND,452871,,,,,False,False,neither present,0,0.0,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
40,Oklahoma,OK,2056192,,,,,False,False,neither present,0,0.0,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
46,South Dakota,SD,498516,,,,,False,False,neither present,0,0.0,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
44,Rhode Island,RI,530201,0.000200,0.000500,106,265,True,True,Comcast,-159,-0.03,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
04,Arizona,AZ,3594796,0.026400,0.051800,94903,186210,True,True,Comcast,-91307,-2.54,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
50,Vermont,VT,374439,0.059000,0.658400,22092,246531,True,True,Comcast,-224439,-59.94,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
54,West Virginia,WV,996362,0.033500,0.290000,33378,288945,True,True,Comcast,-255567,-25.65,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
05,Arkansas,AR,1608780,,0.163100,,262392,False,True,Comcast,-262392,-16.31,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
11,District of Columbia,DC,385672,,0.986400,,380427,False,True,Comcast,-380427,-98.64,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
33,New Hampshire,NH,717969,0.139000,0.701900,99798,503942,True,True,Comcast,-404144,-56.29,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
10,Delaware,DE,511215,,0.820800,,419605,False,True,Comcast,-419605,-82.08,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
28,Mississippi,MS,1612924,0.011000,0.291500,17742,470167,True,True,Comcast,-452425,-28.05,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
35,New Mexico,NM,1081272,0.013100,0.581700,14165,628976,True,True,Comcast,-614811,-56.86,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
27,Minnesota,MN,2853970,0.174000,0.438500,496591,1251466,True,True,Comcast,-754875,-26.45,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
41,Oregon,OR,2072052,0.207400,0.580100,429744,1201997,True,True,Comcast,-772253,-37.27,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
09,Connecticut,CT,1660883,0.089300,0.635300,148317,1055159,True,True,Comcast,-906842,-54.6,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
47,Tennessee,TN,3526181,0.280300,0.554200,988389,1954210,True,True,Comcast,-965821,-27.39,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
49,Utah,UT,1405470,,0.767400,,1078558,False,True,Comcast,-1078558,-76.74,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
18,Indiana,IN,3321739,0.210600,0.582900,699558,1936242,True,True,Comcast,-1236684,-37.23,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
26,Michigan,MI,5061891,0.259300,0.581800,1312548,2945008,True,True,Comcast,-1632460,-32.25,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
51,Virginia,VA,4083985,0.032700,0.463100,133546,1891293,True,True,Comcast,-1757747,-43.04,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
12,Florida,FL,11477157,0.361500,0.523200,4148992,6004849,True,True,Comcast,-1855857,-16.17,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
13,Georgia,GA,5078917,0.169300,0.574200,859861,2916314,True,True,Comcast,-2056453,-40.49,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
08,Colorado,CO,2894616,0.062800,0.786000,181782,2275168,True,True,Comcast,-2093386,-72.32,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
34,New Jersey,NJ,4146970,0.022100,0.575700,91648,2387411,True,True,Comcast,-2295763,-55.36,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
53,Washington,WA,3682084,0.086100,0.724200,317027,2666565,True,True,Comcast,-2349538,-63.81,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
25,Massachusetts,MA,3332272,0.123700,0.858700,412202,2861422,True,True,Comcast,-2449220,-73.5,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
24,Maryland,MD,2754300,0.001600,0.894400,4407,2463446,True,True,Comcast,-2459039,-89.28,RETRIEVED,RETRIEVED,DERIVED = res_st_pct × total_residential_units,"Missing provider row = not in FCC state summary (treated as absent). Beating = strictly larger res_st_pct. Availability, not subscribers."
