frn,provider_id,holding_company
0000012609,240058,Mid-Hudson Cablevision
0000012781,240068,"Neu Ventures, Inc."
0000013722,131087,"Rainbow Telecommunications Association, Inc."
0000014936,240058,Mid-Hudson Cablevision
0000017640,131060,"TPC ACC Acquisition, LLC"
0001513068,430166,"United Electric Cooperative Services, Inc."
0001514090,131161,"Waimana Enterprises, Inc."
0001520980,130254,Cincinnati Bell Inc.
0001537133,130171,Bryan Family Inc.
0001543347,130189,Calaveras Communications Company
0001545748,131057,"Ponderosa Communications, Inc."
0001546068,131173,Sebastian Enterprises
0001546746,131416,"Varcomm Holdings, Inc."
0001549914,131441,Volcano Communications Company
0001551241,131195,"Siskiyou Communications, Inc."
0001551423,130784,"Martell Enterprises, Inc."
0001551530,130077,AT&T Inc.
0001551837,131173,Sebastian Enterprises
0001552173,130077,AT&T Inc.
0001553585,130206,Day Management Corporation
0001559798,131130,Roome Telecommunications Inc.
0001562388,131259,Stayton Cooperative Telephone Company
0001564186,140020,PUD No. 1 of Chelan County
0001564293,300112,Okanogan County PUD No. 1
0001565316,131046,Pioneer Telephone Cooperative (OR)
0001565829,130104,Beaver Creek Cooperative Telephone Company
0001566165,430130,Hood River Electric Cooperative
0001566306,190126,Douglas Electric Cooperative Inc.
0001566983,131043,"Pinpoint Holdings, Inc."
0001568880,130534,GCI Holdings LLC
0001569466,150307,"Remote Control, Inc."
0001570936,130067,"Arctic Slope Telephone Association Cooperative, Inc."
0001571181,130352,"Cordova Telephone Cooperative, Inc."
0001571561,130534,GCI Holdings LLC
0001572932,130349,Copper Valley Telephone Cooperative
0001573427,130791,"Matanuska Telecom Association, Inc."
0001576628,130303,Coast Communications Co. Inc.
0001581297,130786,Palisade America's Investment LLC
0001583194,131475,Wahkiakum West Inc.
0001583350,130651,Western Elite Incorporated Services
0001583962,520000,"Okanogan County Electric Cooperative, Inc."
0001584267,240031,Davis Communications Inc.
0001584275,131047,Pioneer Telephone Holding Company
0001584960,130029,Alaska Power & Telephone Company
0001585397,130252,"Churchill County, State of Nevada"
0001587625,130132,"Blackfoot Telephone Cooperative, Inc."
0001590595,130580,Gunnison Telephone Company
0001596667,130206,Day Management Corporation
0001596717,130743,"Lincoln Communications, Inc."
0001598457,260069,Spanish Fork City
0001598598,520001,"City of Salem, Utah"
0001601079,131387,"UBTA-UBET Communications, Inc."
0001601996,131357,Tohono O'Odham Utility Authority
0001603042,131411,"Valley Telephone Cooperative, Inc. (AZ/NM)"
0001604404,300132,Royce's Electronics Inc.
0001607175,131219,"South Central Utah Telephone Association, Inc."
0001607225,130886,"NE Colorado Cellular, Inc."
0001607340,130453,Emery Telcom
0001607829,131131,"Roosevelt County Rural Telephone Cooperative, Inc."
0001607845,130458,"ENMR Telephone Cooperative, Inc."
0001611334,130692,"Kentec Communications, Inc."
0001615095,131190,"Horizon Communications, Inc."
0001615665,300192,"ITC Broadband Operating, LLC"
0001615889,131049,"Plains Cooperative Telephone Association, Inc."
0001616192,131481,Wiggins Telephone Association
0001616200,131362,"Townes Telecommunications, Inc."
0001616754,370162,"San Luis Valley Rural Electric Cooperative, Inc."
