line_id,item,value,unit,origin,year,source,url,notes
A1,FCC BDC vintage,"December 31, 2025 (D25); revision 15 Sep 2026",date,RETRIEVED,2025-12-31,FCC National Broadband Map data download,https://broadbandmap.fcc.gov/data-download,Same vintage as Analysis/cable-share-small-firm/out/summary.json
A2,Charter provider_id / holding company,130235 / Charter Communications,id,RETRIEVED,2025-12-31,bdc_us_provider_list_D25_15sep2026.csv,https://broadbandmap.fcc.gov/data-download,
A3,Charter-present states (FCC state summary has a Charter row),42,states of 50,DERIVED from RETRIEVED,2025-12-31,chtr_vs_cmcsa_state_leads.csv,https://broadbandmap.fcc.gov/data-download,"DC, AR, DE, UT, AK, IA, ND, OK, SD have no Charter row. Presence is any reported residential availability, not majority and not subscriber share."
A4,Charter-lead states (strictly larger res_st_pct than Comcast),19,states,DERIVED from RETRIEVED,2025-12-31,chtr_vs_cmcsa_state_leads.csv,https://broadbandmap.fcc.gov/data-download,"Lead is availability share vs Comcast, not serviceable employee homes."
A5,Charter-absent jurisdictions,8 states + DC,count,DERIVED from RETRIEVED,2025-12-31,chtr_vs_cmcsa_state_leads.csv,https://broadbandmap.fcc.gov/data-download,AK IA ND OK SD AR DE UT + DC
B1,US persons with any ESI (policyholders + dependents),178.2,million persons,RETRIEVED,CY2023,EBSA Health Insurance Coverage Bulletin Table 1A (March 2024 CPS ASEC),https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,"Includes dependents, retiree, COBRA. Not broker-placed. Not employees only. Tricare excluded from ESI."
B2,Sum of Table 1A state ESI cells,178.4,million persons,DERIVED = sum of retrieved state cells,CY2023,EBSA Table 1A,https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,Rounding: USA printed total is 178.2; state cells sum to this. Totals may not equal components due to rounding (bulletin note).
B3,ESI persons residing in Charter-present states,168.2,million persons,DERIVED = sum of retrieved state ESI for A3,CY2023 x D25 footprint,EBSA Table 1A x FCC D25,https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,"FLAGGED CONVERSION. Residence, not worksite. All ESI, not broker-placed. Not M1."
B4,ESI persons residing in Charter-absent jurisdictions,10.2,million persons,DERIVED,CY2023 x D25 footprint,EBSA Table 1A x FCC D25,https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,FLAGGED. Same caveats as B3.
B5,ESI persons residing in Charter-lead states,80.7,million persons,DERIVED,CY2023 x D25 footprint,EBSA Table 1A x FCC D25,https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,FLAGGED. 19 lead states. Still not broker-placed.
B6,B3 / B1 (Charter-present share of US ESI persons),94.4,percent,DERIVED = B3 / B1,CY2023 x D25,this file,,Uses printed USA 178.2 as denominator. Not M1.
B7,B5 / B1 (Charter-lead share of US ESI persons),45.3,percent,DERIVED = B5 / B1,CY2023 x D25,this file,,Not M1.
C1,Nonelderly people with ESI (ACS hierarchy),154,million people under 65,RETRIEVED,2025,KFF 2025 Employer Health Benefits Survey (ACS-based),https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,"People, including dependents. KFF EHBS 2024 and 2025 text search: no broker vs direct split."
C2,People under 65 with ESI (CPS ASEC),165.6,million people under 65,RETRIEVED,March 2025,KFF analysis of CPS ASEC / ESI 101,https://www.kff.org/health-costs/health-policy-101-employer-sponsored-health-insurance/,"Of these, 85.7 million from own job; 73.6 million household dependent; 6.3 million out-of-household dependent."
C3,ESI from own job (under 65),85.7,million people,RETRIEVED,March 2025,KFF ESI 101 / CPS ASEC,https://www.kff.org/health-costs/health-policy-101-employer-sponsored-health-insurance/,Closest KFF figure to employees; still not broker-placed.
C4,Workers covered through a current employer,82.8,million workers,RETRIEVED,CY2023,EBSA Health Insurance Coverage Bulletin Highlights,https://www.dol.gov/sites/dolgov/files/EBSA/researchers/data/health-and-welfare/health-insurance-coverage-bulletin-2024.pdf,"Of 173.2 million workers. Employees, not dependents. Not broker-placed."
C5,Private-sector workers enrolled in employer health plan,65.6,million workers,RETRIEVED,2024,AHRQ MEPS-IC Research Findings 54,https://meps.ahrq.gov/data_files/publications/rf54/rf54.pdf,9.8 million at firms <50; 56.0 million at 50+. Private sector only. Not broker-placed.
C6,AHIP employer-provided coverage (association figure),>180,million Americans,RETRIEVED (rounded advocacy),2023/2024,AHIP Employer-Provided Coverage State-to-State 2024 press release,https://www.ahip.org/news/press-releases/new-ahip-report-highlights-indispensability-of-employer-provided-coverage-state-by-state,AHIP-funded. Includes families. Do not treat as broker book.
D1,Form 5500-filing private-sector group health plan participants,~88,million participants,RETRIEVED,plan year 2023,EBSA Group Health Plans Report Appendix A (2023 filings),https://www.dol.gov/agencies/ebsa/researchers/statistics/retirement-bulletins,Subset of ERISA plans that file; most small fully insured plans are exempt. Not broker-placed. Large plans 87.7 million participants (Appendix B).
D2,Self-insured share of those Form 5500 participants,39,million participants (44%),RETRIEVED,plan year 2023,EBSA Group Health Plans Report Appendix A,https://beta.dol.gov/system/files/research-data/2026-03/ebsa-annual-report-on-self-insured-group-health-plans-2026-appendix-a.pdf,Self-insured often use consultants/TPAs; Schedule A broker commissions miss much of this book.
E1,Aon Health Solutions 2024 revenue,3.335,USD billions,RETRIEVED,FY2024,Aon plc Form 10-K year ended 31 Dec 2024,https://www.sec.gov/Archives/edgar/data/315293/000162828025006093/aon-20241231.htm,"Global Health Solutions (consulting and brokerage, consumer benefits, talent). Not US covered lives. Not state-split."
E2,Marsh McLennan / Mercer / MMA covered lives in 10-K,blank,lives,NOT DISCLOSED,FY2024,Marsh McLennan 2024 10-K / annual report,https://www.sec.gov/Archives/edgar/data/62709/000006270925000015/mmc-20241231.htm,Health described; covered lives not filed. Mercer Marsh Benefits is the non-US go-to-market brand.
E3,WTW Health & Benefits covered lives in 10-K,blank,lives,NOT DISCLOSED,FY2024,Willis Towers Watson Form 10-K year ended 31 Dec 2024,https://www.sec.gov/Archives/edgar/data/1140536/000095017025026278/wtw-20241231.htm,H&B described as broking and administration in 140+ countries. No lives count.
E4,Gallagher employee-benefits covered lives in 10-K,blank,lives,NOT DISCLOSED,FY2024,Arthur J. Gallagher & Co. Form 10-K FY2024,https://www.sec.gov/Archives/edgar/data/354190/000095017025021775/ajg-20241231.htm,"10-K reports ~56,000 employees, not client covered lives."
F1,Broker-placed covered lives in Charter-present states (M1 numerator),blank,employees,NOT RETRIEVED,,Requires partner broker book extract (or Form 5500 Schedule A broker-of-record matched to worksite/home state),,Public sources do not split broker vs direct by state.
F2,Share of a named broker book in Charter-present states (M1 percent),blank,percent,NOT RETRIEVED,,Partner book,,"Denominator is that broker book, not US ESI."
