rank,company,us_brokerage_revenue_usd,share_of_top100_pct,unit,note
1,Marsh McLennan Cos. Inc.,12665500000,15.87,2024 U.S. brokerage revenue (not lives),Pro forma McGriff (closed 15 Nov 2024)
2,Aon PLC,7497381760,9.4,2024 U.S. brokerage revenue (not lives),Pro forma NFP (acquired 24 Apr 2024); 2023 restated
3,Arthur J. Gallagher & Co.,7092288000,8.89,2024 U.S. brokerage revenue (not lives),2023 restated; AssuredPartners not in this 2024 year
4,Willis Towers Watson PLC,5064280000,6.35,2024 U.S. brokerage revenue (not lives),
5,Alliant Insurance Services Inc.,4969605524,6.23,2024 U.S. brokerage revenue (not lives),2023 restated
6,Brown & Brown Inc.,4036781833,5.06,2024 U.S. brokerage revenue (not lives),
7,Hub International Ltd.,3814376800,4.78,2024 U.S. brokerage revenue (not lives),
8,Lockton Cos. LLC,2874818840,3.6,2024 U.S. brokerage revenue (not lives),Fiscal year ending 30 Apr
9,AssuredPartners Inc.,2809791938,3.52,2024 U.S. brokerage revenue (not lives),Later acquired by Gallagher (2025); 2023 restated
10,USI Insurance Services LLC,2786726700,3.49,2024 U.S. brokerage revenue (not lives),
