filing_name,compensation_usd,premium_overseen_usd,sponsors,published_market_share_pct,unit
MARSH & MCLENNAN AGENCY LLC,804500000.0,31680000000.0,12206,7.1,Form 5500 health & welfare compensation (not lives)
"GALLAGHER BENEFIT SERVICES, INC.",675700000.0,24360000000.0,10070,5.9,Form 5500 health & welfare compensation (not lives)
"LOCKTON COMPANIES, LLC",661700000.0,22060000000.0,6759,5.8,Form 5500 health & welfare compensation (not lives)
"MERCER HEALTH AND BENEFITS, LLC",573000000.0,18730000000.0,4846,5.0,Form 5500 health & welfare compensation (not lives)
USI INSURANCE SERVICES LLC,494100000.0,16670000000.0,9879,4.3,Form 5500 health & welfare compensation (not lives)
WILLIS TOWERS WATSON US LLC,485300000.0,17150000000.0,5208,4.3,Form 5500 health & welfare compensation (not lives)
HUB INTERNATIONAL MIDWEST LIMITED,472200000.0,21290000000.0,7297,4.1,Form 5500 health & welfare compensation (not lives)
AON CONSULTING INC,322900000.0,13890000000.0,3147,2.8,Form 5500 health & welfare compensation (not lives)
"ALLIANT INSURANCE SERVICES, INC.",286500000.0,9320000000.0,3621,2.5,Form 5500 health & welfare compensation (not lives)
BROWN & BROWN INSURANCE SERVICES,246800000.0,21940000000.0,4784,2.2,Form 5500 health & welfare compensation (not lives)
