state_fips,state,abbr,charter_present,charter_res_st_pct,charter_est_units,total_residential_units,susb_employment_2022,origin_presence,origin_employment
01,Alabama,AL,True,0.420100,1127304,2683418,1777657,RETRIEVED,RETRIEVED
04,Arizona,AZ,True,0.026400,94903,3594796,2787701,RETRIEVED,RETRIEVED
06,California,CA,True,0.469900,7651506,16283265,16032440,RETRIEVED,RETRIEVED
08,Colorado,CO,True,0.062800,181782,2894616,2481196,RETRIEVED,RETRIEVED
09,Connecticut,CT,True,0.089300,148317,1660883,1508634,RETRIEVED,RETRIEVED
12,Florida,FL,True,0.361500,4148992,11477157,9628867,RETRIEVED,RETRIEVED
13,Georgia,GA,True,0.169300,859861,5078917,4249362,RETRIEVED,RETRIEVED
15,Hawaii,HI,True,0.922800,556913,603504,507390,RETRIEVED,RETRIEVED
16,Idaho,ID,True,0.090400,82999,918136,689589,RETRIEVED,RETRIEVED
17,Illinois,IL,True,0.049200,297963,6056155,5533883,RETRIEVED,RETRIEVED
18,Indiana,IN,True,0.210600,699558,3321739,2875908,RETRIEVED,RETRIEVED
20,Kansas,KS,True,0.199400,296567,1487297,1225232,RETRIEVED,RETRIEVED
21,Kentucky,KY,True,0.598600,1363705,2278158,1667694,RETRIEVED,RETRIEVED
22,Louisiana,LA,True,0.134900,318024,2357476,1644036,RETRIEVED,RETRIEVED
23,Maine,ME,True,0.735800,600801,816527,533151,RETRIEVED,RETRIEVED
24,Maryland,MD,True,0.001600,4407,2754300,2436501,RETRIEVED,RETRIEVED
25,Massachusetts,MA,True,0.123700,412202,3332272,3396919,RETRIEVED,RETRIEVED
26,Michigan,MI,True,0.259300,1312548,5061891,3939076,RETRIEVED,RETRIEVED
27,Minnesota,MN,True,0.174000,496591,2853970,2732522,RETRIEVED,RETRIEVED
28,Mississippi,MS,True,0.011000,17742,1612924,944580,RETRIEVED,RETRIEVED
29,Missouri,MO,True,0.498700,1566412,3140991,2564383,RETRIEVED,RETRIEVED
30,Montana,MT,True,0.544300,335785,616912,398871,RETRIEVED,RETRIEVED
31,Nebraska,NE,True,0.313100,312736,998839,890050,RETRIEVED,RETRIEVED
32,Nevada,NV,True,0.211500,307579,1454275,1286578,RETRIEVED,RETRIEVED
33,New Hampshire,NH,True,0.139000,99798,717969,615249,RETRIEVED,RETRIEVED
34,New Jersey,NJ,True,0.022100,91648,4146970,3813702,RETRIEVED,RETRIEVED
35,New Mexico,NM,True,0.013100,14165,1081272,639118,RETRIEVED,RETRIEVED
36,New York,NY,True,0.602200,5580990,9267668,8429776,RETRIEVED,RETRIEVED
37,North Carolina,NC,True,0.789900,4365296,5526391,4106761,RETRIEVED,RETRIEVED
39,Ohio,OH,True,0.773500,4512248,5833546,4963808,RETRIEVED,RETRIEVED
41,Oregon,OR,True,0.207400,429744,2072052,1666806,RETRIEVED,RETRIEVED
42,Pennsylvania,PA,True,0.027700,176083,6356781,5584830,RETRIEVED,RETRIEVED
44,Rhode Island,RI,True,0.000200,106,530201,439021,RETRIEVED,RETRIEVED
45,South Carolina,SC,True,0.598600,1660655,2774232,2013315,RETRIEVED,RETRIEVED
47,Tennessee,TN,True,0.280300,988389,3526181,2846881,RETRIEVED,RETRIEVED
48,Texas,TX,True,0.488200,6809213,13947589,11507642,RETRIEVED,RETRIEVED
50,Vermont,VT,True,0.059000,22092,374439,254471,RETRIEVED,RETRIEVED
51,Virginia,VA,True,0.032700,133546,4083985,3494956,RETRIEVED,RETRIEVED
53,Washington,WA,True,0.086100,317027,3682084,2978277,RETRIEVED,RETRIEVED
54,West Virginia,WV,True,0.033500,33378,996362,540468,RETRIEVED,RETRIEVED
55,Wisconsin,WI,True,0.745300,2348841,3151537,2600303,RETRIEVED,RETRIEVED
56,Wyoming,WY,True,0.517200,161029,311347,208024,RETRIEVED,RETRIEVED
02,Alaska,AK,False,,0,383830,257462,RETRIEVED,RETRIEVED
05,Arkansas,AR,False,,0,1608780,1089044,RETRIEVED,RETRIEVED
10,Delaware,DE,False,,0,511215,424303,RETRIEVED,RETRIEVED
11,District of Columbia,DC,False,,0,385672,527355,RETRIEVED,RETRIEVED
19,Iowa,IA,False,,0,1661913,1386299,RETRIEVED,RETRIEVED
38,North Dakota,ND,False,,0,452871,342345,RETRIEVED,RETRIEVED
40,Oklahoma,OK,False,,0,2056192,1390468,RETRIEVED,RETRIEVED
46,South Dakota,SD,False,,0,498516,373863,RETRIEVED,RETRIEVED
49,Utah,UT,False,,0,1405470,1521640,RETRIEVED,RETRIEVED
