line_id,analogue_family,metric_role,what_it_measures,value,unit,year,origin,funder,fielded_by,sample,definition_note,not_charter_because,source_title,source_url,confidence
A1,core_employer_paid,employee_takeup,Eligible-worker take-up of employer health coverage,76,percent of eligible workers,2025,RETRIEVED,KFF (nonprofit; not affiliated with Kaiser Permanente),Davis Research LLC,1862 non-federal public and private employers with 10+ workers; fielded Jan-Jul 2025; overall response rate 13%,Among eligible workers at firms that offer health benefits 76% take up the firm's offer. Workers contribute 16% of single and 26% of family premiums on average. Eligibility 80%; enrollment among workers at offering firms 61%.,Core heavily employer-subsidized medical is not home internet as a benefit; take-up still is not 100%,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high
A2,core_employer_paid,employee_eligibility,Share of workers eligible at firms offering health benefits,80,percent of workers at offering firms,2025,RETRIEVED,KFF (nonprofit; not affiliated with Kaiser Permanente),Davis Research LLC,1862 employers with 10+ workers,Eligibility at offering firms; distinct from take-up among eligibles (A1).,Same as A1 — medical eligibility is not internet-benefit eligibility,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high
A3,core_employer_paid,employee_enrollment,Workers enrolled among firms that offer health benefits,61,percent of workers at offering firms,2025,RETRIEVED,KFF (nonprofit; not affiliated with Kaiser Permanente),Davis Research LLC,1862 employers with 10+ workers,Product of eligibility x take-up (80% x 76% ≈ 61%).,Same as A1,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high
A4,core_employer_paid,payor_split,Worker share of single-coverage premium,16,percent of premium,2025,RETRIEVED,KFF (nonprofit; not affiliated with Kaiser Permanente),Davis Research LLC,1862 employers with 10+ workers,Covered workers contribute 16% of premium for single coverage (employer pays the rest on average).,Payor mix for medical premiums is not internet-benefit payor mix,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high
A5,core_employer_paid,payor_split,Worker share of family-coverage premium,26,percent of premium,2025,RETRIEVED,KFF (nonprofit; not affiliated with Kaiser Permanente),Davis Research LLC,1862 employers with 10+ workers,Covered workers contribute 26% of premium for family coverage.,Same as A4,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high
B1,voluntary_lifestyle,employer_offer,Employers offering pet insurance,22,percent of employers,2025,RETRIEVED,SHRM (membership association; survey of its professional members),SHRM,3969 U.S. HR professionals at independent organizations; unweighted; fielded 21 Jan-10 Mar 2025; plan year 2025,Employer offer prevalence. Unchanged vs 2024 per SHRM exec summary. Not employee take-up.,Offer is not enrollment; pet insurance is not home internet,SHRM 2025 Employee Benefits Survey executive summary,https://www.shrm.org/content/dam/en/shrm/topics-tools/research/employee-benefits/2025_annual_benefits_survey_executive_summary.pdf,high
B2,voluntary_lifestyle,employer_offer,Employers offering legal assistance/services,26,percent of employers,2017,RETRIEVED,SHRM,SHRM,Customized Employee Benefits Prevalence Benchmarking Report; all industries all sizes; n≈2744 for this item; copyright 2017,Employer offer prevalence. Dated. Do not treat as 2025/2026.,2017 legal-plan offer is not Charter internet take-up,SHRM Customized Employee Benefits Prevalence Benchmarking Report (All Industries All FTEs),https://www.shrm.org/content/dam/en/shrm/topics-tools/news/organizational-employee-development/Benefits-Prevalence-Report-All-Industries-All-FTEs.pdf,medium
B3,voluntary_lifestyle,employer_offer,Employers offering identity theft protection,9,percent of employers,2017,RETRIEVED,SHRM,SHRM,Same 2017 SHRM customized report; n≈2722,Employer offer prevalence. Dated.,2017 ID-theft offer is not Charter internet take-up,SHRM Customized Employee Benefits Prevalence Benchmarking Report (All Industries All FTEs),https://www.shrm.org/content/dam/en/shrm/topics-tools/news/organizational-employee-development/Benefits-Prevalence-Report-All-Industries-All-FTEs.pdf,medium
B4,voluntary_lifestyle,employee_interest_not_takeup,Gen Z employees very/extremely interested in employer offering identity theft protection,37,percent of employees in generation,2025,RETRIEVED,LIMRA and Ernst & Young LLP (industry association + professional-services firm),LIMRA/EY Harnessing Growth in Workforce Benefits 2025 Refresh,Employee survey in LIMRA/EY 2025 refresh; columns are Gen Z / Millennial / Gen X / Boomers (37/31/27/32),INTEREST in future offer — not enrollment take-up. Do not use as a take-up analogue.,Interest is not election; identity protection is not internet,LIMRA/EY Harnessing Growth in Workforce Benefits: The Next Horizon 2025 Refresh,https://www.limra.com/globalassets/limra-loma/events-learning-and-networking/conferences/2025/workplace-benefits-conference/presentations/gs---harnessing-growth-in-workforce-benefits---2025-refresh.pdf,medium
B5,voluntary_lifestyle,employee_interest_not_takeup,Gen Z employees very/extremely interested in employer offering a legal services plan,24,percent of employees in generation,2025,RETRIEVED,LIMRA and Ernst & Young LLP,LIMRA/EY,Same source as B4; Gen Z / Millennial / Gen X / Boomers = 24/26/21/19,INTEREST not take-up.,Interest is not election,LIMRA/EY Harnessing Growth in Workforce Benefits: The Next Horizon 2025 Refresh,https://www.limra.com/globalassets/limra-loma/events-learning-and-networking/conferences/2025/workplace-benefits-conference/presentations/gs---harnessing-growth-in-workforce-benefits---2025-refresh.pdf,medium
