geo_id,geo_name,geo_type,year,size_scheme,origin,agency,program,source,source_file,source_url,source_page_url,release_note,measure,citation,employment_total,employment_lt5,employment_5_9,employment_10_19,employment_20_99,employment_100_499,employment_lt100,employment_lt500,employment_ge500,share_lt5_pct,share_5_9_pct,share_10_19_pct,share_20_99_pct,share_100_499_pct,share_lt100_pct,share_lt500_pct,share_ge500_pct,any_size_class_suppressed,size_class_sum,size_class_vs_total_diff,binary_sum,binary_vs_total_diff,ge500_derived
01,Alabama,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1777657,74313,89433,115702,293353,244049,572801,816850,960807,4.180390255262967,5.030948040032469,6.508679683425993,16.502227370071953,13.728688942805052,32.222245348793386,45.950934291598436,54.049065708401564,False,1777657,0,1777657,0,
02,Alaska,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",257462,15691,19427,24763,47527,32126,107408,139534,117928,6.094491614296479,7.5455795418353,9.618118401938927,18.4598115450047,12.477957912235592,41.71800110307541,54.195959015311,45.804040984689,False,257462,0,257462,0,
04,Arizona,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",2787701,111545,120308,161311,417881,375344,811045,1186389,1601312,4.001325823680516,4.315670870010808,5.786524451510402,14.99016573154725,13.464284727809762,29.093686876748976,42.55797160455874,57.44202839544126,False,2787701,0,2787701,0,
05,Arkansas,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1089044,49790,57359,71891,182167,140305,361207,501512,587532,4.571899757952846,5.266912998923827,6.601294346233945,16.727239670757104,12.883317845743607,33.16734677386772,46.05066461961133,53.94933538038867,False,1089044,0,1089044,0,
06,California,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",16032440,816259,871969,1122081,2607455,2177924,5417764,7595688,8436752,5.091296147061832,5.438779125323407,6.998816150255357,16.263619261946403,13.584482461808683,33.792510684587,47.376993146395684,52.623006853604316,False,16032440,0,16032440,0,
08,Colorado,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",2481196,139001,137783,184545,427327,318004,888656,1206660,1274536,5.602177337058419,5.553088107509443,7.437743733264119,17.22262167116181,12.816561045560286,35.81563084899379,48.632191894554076,51.367808105445924,False,2481196,0,2481196,0,
09,Connecticut,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1508634,66714,80491,102550,254835,221507,504590,726097,782537,4.4221461268936,5.335356355484498,6.797540026275425,16.891770966317875,14.682620171625457,33.4468134749714,48.12943364659686,51.87056635340314,False,1508634,0,1508634,0,
10,Delaware,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",424303,20949,21971,30773,81285,59561,154978,214539,209764,4.937273599291073,5.178139207123212,7.2526001465933545,19.157300325474957,14.037374234921742,36.52531327848259,50.562687513404335,49.437312486595665,False,424303,0,424303,0,
11,District of Columbia,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",527355,14905,18285,27339,94754,103898,155283,259181,268174,2.8263693337505096,3.46730380862986,5.184173848735671,17.967782613230177,19.70171895592153,29.44562960434622,49.14734856026775,50.85265143973225,False,527355,0,527355,0,
12,Florida,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",9628867,537117,442098,544263,1284483,1005114,2807961,3813075,5815792,5.57819523314633,4.591381312048448,5.652409572175003,13.339918393306295,10.438549000624892,29.161904510676074,39.60045351130097,60.39954648869903,False,9628867,0,9628867,0,
