geo_id,geography,geo_level,workers_16_plus,worked_from_home,wfh_rate_pct,workers_16_plus_moe,worked_from_home_moe,rank_desc,agency,program,table,year,variable_or_question,url,url_secondary,funded_by,origin,confidence,notes
01000US,United States,nation,165360450,22026372,13.3202177425134,170737.0,86199.0,,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US11,District of Columbia,state,388136,88726,22.859513160335553,6178.0,4752.0,1,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US08,Colorado,state,3167362,629420,19.87205756714894,15533.0,15025.0,2,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US41,Oregon,state,2080165,354930,17.062588785024264,14334.0,9105.0,3,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US53,Washington,state,3932815,645514,16.413535851546538,20919.0,16020.0,4,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US04,Arizona,state,3571875,582289,16.302054243219597,21491.0,15998.0,5,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US33,New Hampshire,state,754095,120950,16.039093217698035,8724.0,5930.0,6,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US50,Vermont,state,340565,54357,15.960829797542319,4618.0,3105.0,7,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US51,Virginia,state,4445265,703153,15.818022097670218,19940.0,15269.0,8,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
04000US49,Utah,state,1771258,277963,15.692970758635953,12498.0,8365.0,9,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
