line_id,description,value,unit,formula,agency,program,table,year,variable_or_question,url,url_secondary,funded_by,origin,confidence,notes
A1,US usually-WFH rate (ACS journey-to-work),13.320218,percent of workers 16+,worked_from_home / workers_16_plus,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
A2,Highest state usually-WFH rate (District of Columbia),22.859513,percent of workers 16+,state B08301_021E / B08301_001E,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
A3,Lowest state usually-WFH rate (Mississippi),6.240732,percent of workers 16+,state B08301_021E / B08301_001E,U.S. Census Bureau,American Community Survey (ACS) 1-Year Estimates Detailed Tables,B08301 Means of Transportation to Work,2024,B08301_021E Worked from home / B08301_001E Total; universe = Workers 16 years and over; usually worked from home as means of transportation to work (journey-to-work),"https://api.censusreporter.org/1.0/data/show/latest?table_ids=B08301&geo_ids=040%7C01000US,01000US",https://data.census.gov/table/ACSDT1Y2024.B08301,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,Pulled via Census Reporter API wrapping ACS 2024 1-year release (release id acs2024_1yr). Direct api.census.gov calls required a key; counts match ACS table B08301.
B1,ATUS: any work at home on days worked — all employed 15+,32.47701,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B2,Seniority proxy — management/business/financial occupation (ATUS),48.115079,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B3,Contrast — service occupations (ATUS),10.536691,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B4,Seniority proxy — highest usual weekly earnings quartile (ATUS),51.019987,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B5,Contrast — lowest usual weekly earnings quartile (ATUS),13.291983,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B6,"Seniority proxy — bachelor's degree and higher (ATUS, age 25+)",49.990806,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
B7,"Contrast — high school, no college (ATUS, age 25+)",17.809516,percent of persons who worked on an average day,worked_at_home / worked_on_average_day,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
