break_type,group,source_table,total_employed_000s,worked_on_average_day_000s,worked_at_home_000s,pct_worked_at_home_of_those_who_worked,published_pct_one_decimal,seniority_proxy,agency,program,table,year,variable_or_question,url,url_secondary,funded_by,origin,confidence,notes
overall,"Total, 15 years and over",Table 6,172537,112224,36447,32.47701026518392,32.5,False,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
hours,Full-time workers,Table 6,134979,93864,31332,33.3802096650473,33.4,False,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
hours,Part-time workers,Table 6,37558,18361,5114,27.852513479657972,27.9,False,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,Less than a high school diploma,Table 6,8106,5293,266,5.025505384470055,5.0,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,"High school graduates, no college",Table 6,38258,25346,4514,17.809516294484336,17.8,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,Some college or associate degree,Table 6,30545,19362,5012,25.885755603759943,25.9,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,Bachelor's degree and higher,Table 6,71811,48943,24467,49.99080563104019,50.0,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,Bachelor's degree only,Table 6,42196,27820,12899,46.36592379583034,46.4,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
education,Advanced degree,Table 6,29615,21123,11568,54.76494816077262,54.8,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 6",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,"Management, business, and financial operations",Table 7,31374,22176,10670,48.11507936507937,48.1,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
